id,name,price,category,description,image,active,sort_order,product_prompt,workflow_status,qa_status,source_drive_id,processed_image,review_reason,sku,age_min,age_max
OMR-RAW-001,"محلول فقاعات صابون",,"ألعاب خارجية وفقاعات",,"https://drive.google.com/uc?export=view&id=1dtiEbbptINTXxtQAwpkKpI2fxBAxYbLm",TRUE,2,,PUBLISHED,PASS,1I_QGGoYTxq7zdfd5UgWFReB7MS9Tg36U,"https://drive.google.com/uc?export=view&id=1dtiEbbptINTXxtQAwpkKpI2fxBAxYbLm",,,,
OMR-RAW-002,"حقيبة رسم وتلوين زرقاء",,"ألعاب تعليمية وفنية",,"https://drive.google.com/uc?export=view&id=1ORWMwfpwHgF-Usqg1oBvzCx4FIVhj18T",TRUE,3,,PUBLISHED,PASS,1Sdozgd1CS2oAtJcUN-fjIhQzmAq_AuVl,"https://drive.google.com/uc?export=view&id=1ORWMwfpwHgF-Usqg1oBvzCx4FIVhj18T",,,,
OMR-RAW-003,"حقيبة رسم وتلوين وردية",,"ألعاب تعليمية وفنية",,"https://drive.google.com/uc?export=view&id=13TDSnLvR07wTBesPQcHb6jTZYtjIxwKT",TRUE,4,,PUBLISHED,PASS,1pM9lcH17V7pCw9l_6_hC4hPrPoDCNZVn,"https://drive.google.com/uc?export=view&id=13TDSnLvR07wTBesPQcHb6jTZYtjIxwKT",,,,
OMR-RAW-004,"بيانو أطفال بشكل كلب",,"ألعاب موسيقية",,"https://drive.google.com/uc?export=view&id=1SZxh2FDS3GOpt9RkBDdg9R1Vv0ecI4oZ",TRUE,5,,PUBLISHED,PASS,16HLRBn8l6aRKSTnE17sDyfaZNSFNC-cP,"https://drive.google.com/uc?export=view&id=1SZxh2FDS3GOpt9RkBDdg9R1Vv0ecI4oZ",,,,
OMR-RAW-005,"Rabbit Piano بيانو أطفال",,"ألعاب موسيقية",,"https://drive.google.com/uc?export=view&id=1z_jLgW6E1cOc8TVxImwf8qb7POrcQC8b",TRUE,6,,PUBLISHED,PASS,1YTUycmB_vORBD4n29HkhZoZ1vpxJT29y,"https://drive.google.com/uc?export=view&id=1z_jLgW6E1cOc8TVxImwf8qb7POrcQC8b",,,,
OMR-RAW-006,"عروسة مع إكسسوارات",,"عرائس وألعاب بنات",,"https://drive.google.com/uc?export=view&id=1WmeT2WM1bICSV4Rjpug56QcKGMErSr1v",TRUE,7,,PUBLISHED,PASS,1o1mToFYNDPH63LW51wpIxPocB-G1U8wz,"https://drive.google.com/uc?export=view&id=1WmeT2WM1bICSV4Rjpug56QcKGMErSr1v",,,,
OMR-RAW-007,"عروسة Beauty مع إكسسوارات",,"عرائس وألعاب بنات",,"https://drive.google.com/uc?export=view&id=1hPd8kbo1rTHrtBqB8WWP-0VvjQ4YY2Sz",TRUE,8,,PUBLISHED,PASS,1Pj8la4jAnm7DXCSB0YJDAW27cs_cKA-U,"https://drive.google.com/uc?export=view&id=1hPd8kbo1rTHrtBqB8WWP-0VvjQ4YY2Sz",,,,
OMR-RAW-008,"طقم عرائس Beauty Girl",,"عرائس وألعاب بنات",,"https://drive.google.com/uc?export=view&id=1kYmIS3wPoq9po4YGyh8CIv6M8O8CUw_p",TRUE,9,,PUBLISHED,PASS,1xdLyrMzA0GDxlk2DpXi-Hb8ZfUo9yqxC,"https://drive.google.com/uc?export=view&id=1kYmIS3wPoq9po4YGyh8CIv6M8O8CUw_p",,,,
OMR-RAW-010,"Magnetic Force Chess",,"ألعاب تعليمية وذهنية",,"https://drive.google.com/uc?export=view&id=1kR-HMHQp0JltOSmVtolsd073JqesLngW",TRUE,10,,PUBLISHED,PASS,14-0b1Xsqvpi--nu8MIrZkQQBjpB7zAIZ,"https://drive.google.com/uc?export=view&id=1kR-HMHQp0JltOSmVtolsd073JqesLngW",,,,
OMR-RAW-011,"طائرة مقاتلة بالريموت",,"سيارات وطائرات ريموت",,"https://drive.google.com/uc?export=view&id=1v2V_v6GidoqTbwEbPh9tv4xd3stiDz4R",TRUE,11,,PUBLISHED,PASS,1GppbeR4M1VDBw6OVUmv9hkLJcDF0NnzF,"https://drive.google.com/uc?export=view&id=1v2V_v6GidoqTbwEbPh9tv4xd3stiDz4R",,,,
OMR-RAW-012,"خزنة أطفال إلكترونية",,"ألعاب تعليمية وإكسسوارات",,"https://drive.google.com/uc?export=view&id=1Sl8j6xkubkcSRdAYoJjsta905lTl2ho0",TRUE,12,,PUBLISHED,PASS,1GNkXFyJ0mZEyYQxhrSXjBND0OR1TSSPC,"https://drive.google.com/uc?export=view&id=1Sl8j6xkubkcSRdAYoJjsta905lTl2ho0",,,,
OMR-RAW-013,"طقم مطبخ أطفال",,"ألعاب مطبخ وتمثيل أدوار",,"https://drive.google.com/uc?export=view&id=18_ryNh_KuKnmeYiRkbfMSB_QwBpp4Ix3",TRUE,13,,PUBLISHED,PASS,1GOkTZLGhiwMy3w6NW6y8nJZfcay0cS09,"https://drive.google.com/uc?export=view&id=18_ryNh_KuKnmeYiRkbfMSB_QwBpp4Ix3",,,,
OMR-RAW-014,"حذاء تزلج أطفال Roller Skates",,"ألعاب حركة ورياضة",,"https://drive.google.com/uc?export=view&id=11HUU4vP3EaUvkU9iareZhV8rdQsEqEPb",TRUE,14,,PUBLISHED,PASS,1LCtGyec2Wi3vgC73YRNiglngQ2C88164,"https://drive.google.com/uc?export=view&id=11HUU4vP3EaUvkU9iareZhV8rdQsEqEPb",,,,
OMR-RAW-015,"سيارة سباق بالريموت",,"سيارات وطائرات ريموت",,"https://drive.google.com/uc?export=view&id=176s-ansOHYcOZRHFHmgVIuu-mXAT59fW",TRUE,15,,PUBLISHED,PASS,1X0kneqOH1xM_gYH_M5LofoH1yJKnbBeR,"https://drive.google.com/uc?export=view&id=176s-ansOHYcOZRHFHmgVIuu-mXAT59fW",,,,
OMR-RAW-017,"طقم أدوات لعب للأطفال",,"ألعاب تمثيل أدوار",,"https://drive.google.com/uc?export=view&id=1UozlVTKY_dH5SUrlWFCKiqyc1Sr330Nq",TRUE,16,,PUBLISHED,PASS,11L2JzfLrVq6sDXomqLlaWta5bu5MeprU,"https://drive.google.com/uc?export=view&id=1UozlVTKY_dH5SUrlWFCKiqyc1Sr330Nq",,,,
OMR-RAW-019,"عروسة Sweet Baby",,"عرائس وألعاب بنات",,"https://drive.google.com/uc?export=view&id=1KD14HNb18lk2vxbhlBNAqmBpvXNozcI_",TRUE,17,,PUBLISHED,PASS,1W4i1VJgAaigHz1ts6pW39X0-YY0Mfmlt,"https://drive.google.com/uc?export=view&id=1KD14HNb18lk2vxbhlBNAqmBpvXNozcI_",,,,
OMR-RAW-020,"سيارة ريموت خضراء",,"سيارات وطائرات ريموت",,"https://drive.google.com/uc?export=view&id=1zMv-gcrm6jTytQ3HgcRtME5ZmFDxtAiE",TRUE,18,,PUBLISHED,PASS,1WRIkkQDIYp-UnRLHeW4EO5NuBAm9KosZ,"https://drive.google.com/uc?export=view&id=1zMv-gcrm6jTytQ3HgcRtME5ZmFDxtAiE",,,,
OMR-RAW-021,"سيارة ريموت رمادية",,"سيارات وطائرات ريموت",,"https://drive.google.com/uc?export=view&id=1AA8Cb31Hk9sTqNJfNLubRpeSeE41JF_X",TRUE,19,,PUBLISHED,PASS,1Ar1Y8kVUPlgiuRPT7isp7BX3YnIiUZXA,"https://drive.google.com/uc?export=view&id=1AA8Cb31Hk9sTqNJfNLubRpeSeE41JF_X",,,,
OMR-RAW-022,"Battle Game",,"ألعاب حركة وتحدي",,"https://drive.google.com/uc?export=view&id=1aJHphYdC6kHa0fNaza7_xkJhsc6cJL9Y",TRUE,20,,PUBLISHED,PASS,1UQ3tha_KkkUALRrNCDVSaHEXVQev9iA6,"https://drive.google.com/uc?export=view&id=1aJHphYdC6kHa0fNaza7_xkJhsc6cJL9Y",,,,
